review_item_id,source_page_key,eval_mode,mismatch_type,truth_id,prediction_id,confidence,iou_25,best_iou,nearest_truth_iou,nearest_truth_id,nearest_prediction_id,nearest_prediction_iou,matched_elsewhere,matched_elsewhere_prediction_id,matched_elsewhere_truth_id,possible_duplicate_prediction,mismatch_reason_raw,human_error_bucket,human_review_status,human_notes,overlay_path,crop_path
Revision_1_-_Drawing_Changes_p0003:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0003,model_only_tiled,false_positive,truth_001,pred_001,0.841649,0.233938,0.233938,0.233938,truth_001,pred_002,0.664997,true,pred_002,,true,"pred_001 was not assigned the IoU 0.25 scoring match. Its nearest truth is truth_001 at IoU 0.234, but that truth was already matched to pred_002. This may be a duplicate/fragment scoring artifact.",prediction_fragment_on_real_cloud,resolved,"Red is a useful fragment on same real cloud; should merge with blue to improve final whole-cloud coverage. Blue claimed scoring match, but merged blue+red would better match truth.",CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0003_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0003_cloud_001.png
Revision_1_-_Drawing_Changes_p0032:pipeline_full:pred:pred_002,Revision_1_-_Drawing_Changes:p0032,pipeline_full,localization_low_iou,truth_001,pred_002,0.81505,0.498914,0.498914,0.498914,truth_001,pred_002,0.498914,false,,,false,"pred_002 was matched to truth_001 at IoU 0.499, so it counts as a TP at IoU 0.25. It is queued because localization is below IoU 0.50.",localization_too_loose,resolved,Prediction found cloud but box is larger than truth; acceptable but loose.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/pipeline_full/Revision_1_-_Drawing_Changes_p0032_pipeline_full_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_pipeline_full_page_disjoint_real_20260502/whole_cloud_candidates/crops/Revision #1 - Drawing Changes/Revision_1_-_Drawing_Changes_6cbee960_p0032_whole_002_small.png
Revision_1_-_Drawing_Changes_p0033:model_only_tiled:pred:pred_003,Revision_1_-_Drawing_Changes:p0033,model_only_tiled,false_positive,truth_001,pred_003,0.66184,0.497707,0.497707,0.497707,truth_001,pred_001,0.938836,true,pred_001,,true,"pred_003 was not assigned the IoU 0.25 scoring match. Its nearest truth is truth_001 at IoU 0.498, but that truth was already matched to pred_001. This may be a duplicate/fragment scoring artifact.",duplicate_prediction_on_real_cloud,resolved,Red is duplicate fragment on same real cloud; should be merged/suppressed with blue.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0033_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0033_cloud_003.png
Revision_1_-_Drawing_Changes_p0033:pipeline_full:pred:pred_001,Revision_1_-_Drawing_Changes:p0033,pipeline_full,localization_low_iou,truth_001,pred_001,0.827298,0.495742,0.495742,0.495742,truth_001,pred_001,0.495742,false,,,false,"pred_001 was matched to truth_001 at IoU 0.496, so it counts as a TP at IoU 0.25. It is queued because localization is below IoU 0.50.",localization_too_loose,resolved,Prediction found cloud but box is larger than truth; acceptable but loose.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/pipeline_full/Revision_1_-_Drawing_Changes_p0033_pipeline_full_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_pipeline_full_page_disjoint_real_20260502/whole_cloud_candidates/crops/Revision #1 - Drawing Changes/Revision_1_-_Drawing_Changes_6cbee960_p0033_whole_001_small.png
Revision_1_-_Drawing_Changes_p0036:model_only_tiled:pred:pred_003,Revision_1_-_Drawing_Changes:p0036,model_only_tiled,false_positive,,pred_003,0.714391,0,0,0,,pred_003,0,false,,,false,pred_003 was not assigned a scoring match and no truth box overlaps it on this page.,crossing_line_x_patterns,resolved,Real FP on repeated V/X crossing-line hatch pattern; no revision cloud.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0036_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0036_cloud_003.png
Revision_1_-_Drawing_Changes_p0036:pipeline_full:pred:pred_003,Revision_1_-_Drawing_Changes:p0036,pipeline_full,false_positive,,pred_003,0.726641,0,0,0,,pred_003,0,false,,,false,pred_003 was not assigned a scoring match and no truth box overlaps it on this page.,crossing_line_x_patterns,resolved,Same repeated V/X crossing-line hatch FP as prior row; larger duplicate/overlapping box.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/pipeline_full/Revision_1_-_Drawing_Changes_p0036_pipeline_full_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_pipeline_full_page_disjoint_real_20260502/whole_cloud_candidates/crops/Revision #1 - Drawing Changes/Revision_1_-_Drawing_Changes_6cbee960_p0036_whole_003_small.png
Revision_1_-_Drawing_Changes_p0037:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0037,model_only_tiled,false_positive,,pred_001,0.837439,0,0,0,,pred_001,0,false,,,false,pred_001 was not assigned a scoring match and no truth box overlaps it on this page.,truth_box_needs_recheck,truth_followup,"Prediction is a real cloud, but no truth box exists here. Prior truth review likely missed this cloud; queue frozen truth correction and rerun eval.",CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0037_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0037_cloud_001.png
Revision_1_-_Drawing_Changes_p0037:pipeline_full:pred:pred_001,Revision_1_-_Drawing_Changes:p0037,pipeline_full,false_positive,,pred_001,0.849689,0,0,0,,pred_001,0,false,,,false,pred_001 was not assigned a scoring match and no truth box overlaps it on this page.,truth_box_needs_recheck,truth_followup,"Same missed truth cloud as prior row; larger duplicate prediction around real unlabeled cloud. Queue frozen truth correction, then rerun eval.",CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/pipeline_full/Revision_1_-_Drawing_Changes_p0037_pipeline_full_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_pipeline_full_page_disjoint_real_20260502/whole_cloud_candidates/crops/Revision #1 - Drawing Changes/Revision_1_-_Drawing_Changes_6cbee960_p0037_whole_001_small.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_001,0.883256,0.150558,0.150558,0.150558,truth_002,pred_001,0.150558,false,,,false,"pred_001 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.151, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Red prediction is a fragment on a real orange truth cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_001.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_002,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_002,0.860932,0.173278,0.173278,0.173278,truth_001,pred_002,0.173278,false,,,false,"pred_002 was not assigned a scoring match because its nearest truth is truth_001 at IoU 0.173, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_002.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_003,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_003,0.826216,0.164933,0.164933,0.164933,truth_002,pred_003,0.164933,false,,,false,"pred_003 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.165, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_003.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_004,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_004,0.805019,0.168991,0.168991,0.168991,truth_002,pred_004,0.168991,false,,,false,"pred_004 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.169, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_004.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_005,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_005,0.79744,0.212732,0.212732,0.212732,truth_001,pred_005,0.212732,false,,,false,"pred_005 was not assigned a scoring match because its nearest truth is truth_001 at IoU 0.213, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_005.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_006,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_006,0.794766,0.159016,0.159016,0.159016,truth_002,pred_006,0.159016,false,,,false,"pred_006 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.159, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_006.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_007,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_007,0.794266,0.165936,0.165936,0.165936,truth_002,pred_007,0.165936,false,,,false,"pred_007 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.166, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_007.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_008,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_008,0.792652,0.216559,0.216559,0.216559,truth_001,pred_008,0.216559,false,,,false,"pred_008 was not assigned a scoring match because its nearest truth is truth_001 at IoU 0.217, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_008.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_009,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_009,0.792271,0.063814,0.063814,0.063814,truth_001,pred_009,0.063814,false,,,false,"pred_009 was not assigned a scoring match because its nearest truth is truth_001 at IoU 0.064, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_009.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_010,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_010,0.777756,0.212187,0.212187,0.212187,truth_001,pred_010,0.212187,false,,,false,"pred_010 was not assigned a scoring match because its nearest truth is truth_001 at IoU 0.212, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_010.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_011,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_011,0.772618,0.218996,0.218996,0.218996,truth_001,pred_011,0.218996,false,,,false,"pred_011 was not assigned a scoring match because its nearest truth is truth_001 at IoU 0.219, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_011.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_012,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_012,0.758599,0.165316,0.165316,0.165316,truth_002,pred_012,0.165316,false,,,false,"pred_012 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.165, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_012.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_013,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_013,0.70033,0.05292,0.05292,0.05292,truth_002,pred_013,0.05292,false,,,false,"pred_013 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.053, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_013.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_014,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_014,0.669242,0.005362,0.005362,0.005362,truth_002,pred_014,0.005362,false,,,false,"pred_014 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.005, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Fragment prediction on real long cloud; should be grouped/merged into one whole-cloud prediction.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_014.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:truth:truth_001,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_negative,truth_001,pred_011,0.772618,0.218996,0.218996,0.218996,truth_001,pred_011,0.218996,false,,,false,truth_001 did not receive an IoU 0.25 scoring match. The nearest prediction is pred_011 at IoU 0.219.,split_fragment,resolved,Truth cloud exists but detections are split into fragments; no whole-cloud prediction matched.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_011.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:truth:truth_002,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_negative,truth_002,pred_004,0.805019,0.168991,0.168991,0.168991,truth_002,pred_004,0.168991,false,,,false,truth_002 did not receive an IoU 0.25 scoring match. The nearest prediction is pred_004 at IoU 0.169.,split_fragment,resolved,Truth cloud exists but detections are split into fragments; no whole-cloud prediction matched.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/model_only_tiled/Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_model_only_tiled_page_disjoint_real_20260502/crops/Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_004.png
Revision_1_-_Drawing_Changes_p0041:pipeline_full:pred:pred_001,Revision_1_-_Drawing_Changes:p0041,pipeline_full,false_positive,truth_002,pred_001,0.954572,0.146355,0.146355,0.146355,truth_002,pred_001,0.146355,false,,,false,"pred_001 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.146, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Very loose fragment/strip prediction on real long cloud; does not localize the orange truth and should be merged/suppressed by whole-cloud grouping.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/pipeline_full/Revision_1_-_Drawing_Changes_p0041_pipeline_full_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_pipeline_full_page_disjoint_real_20260502/whole_cloud_candidates/crops/Revision #1 - Drawing Changes/Revision_1_-_Drawing_Changes_6cbee960_p0041_whole_001_xlarge.png
Revision_1_-_Drawing_Changes_p0041:pipeline_full:pred:pred_002,Revision_1_-_Drawing_Changes:p0041,pipeline_full,false_positive,truth_001,pred_002,0.935634,0.194965,0.194965,0.194965,truth_001,pred_002,0.194965,false,,,false,"pred_002 was not assigned a scoring match because its nearest truth is truth_001 at IoU 0.195, below the IoU 0.25 threshold.",prediction_fragment_on_real_cloud,resolved,Very loose fragment/strip prediction on real long cloud; does not localize the orange truth and should be merged/suppressed by whole-cloud grouping.,CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/pipeline_full/Revision_1_-_Drawing_Changes_p0041_pipeline_full_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_pipeline_full_page_disjoint_real_20260502/whole_cloud_candidates/crops/Revision #1 - Drawing Changes/Revision_1_-_Drawing_Changes_6cbee960_p0041_whole_002_xlarge.png
Revision_1_-_Drawing_Changes_p0041:pipeline_full:truth:truth_001,Revision_1_-_Drawing_Changes:p0041,pipeline_full,false_negative,truth_001,pred_002,0.935634,0.194965,0.194965,0.194965,truth_001,pred_002,0.194965,false,,,false,truth_001 did not receive an IoU 0.25 scoring match. The nearest prediction is pred_002 at IoU 0.195.,split_fragment,resolved,"Long truth cloud exists, but detections are fragmented/poorly localized; no whole-cloud prediction matched.",CloudHammer_v2/outputs/baseline_human_audited_mismatch_review_20260504/overlay_packet/overlays/pipeline_full/Revision_1_-_Drawing_Changes_p0041_pipeline_full_truth_vs_predictions.jpg,CloudHammer_v2/outputs/baseline_pipeline_full_page_disjoint_real_20260502/whole_cloud_candidates/crops/Revision #1 - Drawing Changes/Revision_1_-_Drawing_Changes_6cbee960_p0041_whole_002_xlarge.png
